305	RCO1	0.112	-0.189	0.279	-0.168	0	0.222	-0.298
306	VPS20	-0.017	0	0.281	-0.237	-0.335	-0.089	-0.363
307	DDR48	-1.582	-1.393	-0.527	1.096	1.719	1.682	-0.442
308	MMT1	0.206	0.161	0.188	-0.272	-0.139	-0.371	-0.084
309	SPT21	0.237	-0.052	0.083	-0.618	-0.555	-0.148	0.271
310	YMR181C	-0.352	-0.811	-0.798	-0.206	0.407	1.832	0.696
311	SSO2	0.386	0.293	0.205	0.191	0.17	-0.357	-0.529
312	RTP1	0.492	0.598	0.27	-0.134	-0.128	0.485	0.579
313	CAT8	0.126	-0.585	-0.138	-0.678	-0.298	-0.505	-0.115
314	AEP2	0.3	0.087	0.372	-0.064	-0.082	0.09	-0.302
315	YKU70	0	-0.152	0	-0.652	0.037	-0.107	-0.059
316	DSS1	0	-0.035	0.295	0.126	-0.173	0.294	-0.439
317	ABZ2	0.184	0.53	0.18	-0.369	-0.222	-0.209	-0.212
318	TDA1	-0.76	-0.549	-0.204	0.152	0.877	1.368	0.066
319	MSG5	0.221	-0.33	0.038	-0.306	0.253	0.517	0.547
320	POR1	0.126	-0.325	-0.44	0.042	1.065	1.679	0.056
321	YNL057W	0.417	-0.025	0.138	-0.487	-0.123	0.393	0.492
322	ARP5	-0.021	-0.088	-0.21	-0.166	0.231	0.041	-0.469
323	NOP2	0.911	0.823	0.101	-0.916	-1.52	-1.224	-0.024
324	MTQ1	0.499	0.206	0.553	0.106	-0.152	0.297	-0.16
325	PGA2	0.504	0.433	0.486	0.186	-0.11	-0.073	-0.498
326	RPC31	0.824	0.878	0.569	-0.53	-0.871	-1.115	-0.368
327	GIM3	0.679	0.798	0.614	-0.215	-0.202	-0.514	-0.332
328	CUZ1	0.264	0.187	0.076	0.604	0.2	0.022	-0.725
329	IGO1	0.08	-0.086	0.287	0.352	0.627	0.676	-0.151
330	ASI2	-0.157	0.057	0.306	0.148	0.763	0.572	0.168
331	CWC25	0.199	0.141	0.297	-0.186	-0.045	0.075	-0.288
332	YNL247W	0.603	0.771	0.759	0.463	-0.583	-0.959	-0.109
333	MPA43	-0.38	-0.071	0.418	0.1	0.505	0.296	-0.206
334	NRD1	0.485	0.077	0.054	0.213	-0.243	0.325	0.139
335	TEX1	-0.045	0.178	-0.033	0.116	0.29	0.473	-0.12
336	GIS2	1.025	0.983	0.546	0.049	-0.385	-0.957	0.05
337	ATO2	-0.307	-0.93	-0.188	-0.772	0.145	0.83	-0.144
338	SWM2	-0.044	-0.119	0.459	-0.268	-0.314	0.885	0
339	VPS27	-0.402	-0.444	0.147	-0.181	0.311	0.463	-0.422
340	LRO1	0.019	-0.191	-0.091	-0.409	0.054	0.182	-0.504
341	CSE2	0.39	0.301	0.257	0.018	0.585	0.828	0.128
342	URK1	0.872	1.008	0.7	-0.784	-0.657	-0.447	0.251
343	DIS3	0.35	0.64	0.38	0.051	-0.251	0.045	-0.293
344	IFM1	0.144	-0.023	0.34	-0.198	0	0.07	-0.227
345	LAG2	0.139	-0.268	0.231	-0.094	0.297	0.689	-0.189
346	MDM38	0.326	0.167	0.238	0.244	0.411	0.399	0.238
347	YOL029C	0.397	0.066	0.071	-0.342	-0.226	-0.091	-0.166
348	SIL1	-1.64	0.133	0.452	0.857	0.967	0.409	-1.277
349	MSN1	0.068	0.045	0.379	0	0.049	-0.058	-0.533
350	YOL118C	-0.177	-0.431	0.466	-0.229	-0.401	0.778	0.273
351	RPL18A	1.333	0.98	0.97	0.299	-0.915	-1.717	0.207
352	SMF1	-0.662	-0.185	0.456	0.673	0.481	0.58	0.873
353	TRM11	0.868	0.981	0.459	-0.676	-1.167	-1.621	-0.099
354	MDH2	-0.288	-0.539	-0.224	-0.156	0.549	0.474	1.372
355	DBP5	0.557	0.348	0.808	0.071	-0.007	-0.858	-0.614
356	RAT1	0.093	0.628	0.441	0	-0.074	-0.126	-0.363
357	YOR050C	-0.193	-0.48	-0.034	-0.526	0.301	0.447	0.233
358	TMC1	-0.454	-0.796	0.371	0.593	1.065	0.835	-0.507
359	VHS3	-0.492	-0.387	-0.316	-0.144	0.474	0.539	-0.642
360	NOB1	0.724	0.591	-0.029	-1.459	-0.907	-0.824	-0.239
361	LSC1	0.025	-0.304	0.03	0.225	0.734	1.091	-0.101
362	ELG1	0.381	0.51	0.316	-0.555	-0.284	0.126	-0.1
363	YOR146W	0.979	1.07	0.528	-0.547	-1.348	-0.722	0.933
366	ATG40	-0.882	-1.193	-0.389	0.363	0.871	1.778	0.332
367	YOR238W	0.355	-0.076	0.547	0.129	0.35	0.25	-0.123
368	ABP140	-0.17	-0.111	0.265	0.333	0.446	0.159	-0.72
